,symbol,date,dividend
193563,DWLV,2018-03-19,0.033
193564,DWPP,2018-03-22,0.0532
193565,EBSB,2018-03-19,0.05
193566,EFAS,2018-03-05,0.0724
193567,EFAS,2018-04-04,0.0724
193568,EFSC,2018-03-14,0.11
193569,EGOV,2018-03-05,0.08
193570,EMB,2018-04-02,0.3738
193571,EMCB,2018-03-20,0.235
193572,EMCG,2018-03-20,0.0033
193573,EMCI,2018-03-13,0.22
193574,ENSG,2018-03-28,0.045
193575,EQRR,2018-03-21,0.1587
193576,ERIC,2018-04-02,0.1259
193577,ERIE,2018-04-05,0.84
193578,ESBK,2018-03-07,0.23
193579,ESCA,2018-03-09,0.125
193580,ESG,2018-03-19,0.1977
193581,ESGG,2018-03-19,0.3066
193582,ESGU,2018-03-22,0.181
193583,ESLT,2018-04-06,0.44
193584,ESND,2018-03-14,0.14
193585,ESSA,2018-03-15,0.09
193586,EVFTC,2018-04-02,0.0325
193587,EVGBC,2018-04-02,0.0808
193588,EVLMC,2018-04-02,0.0161
193589,EXPE,2018-03-07,0.3
193590,FAAR,2018-03-22,0.0118
193591,FAB,2018-03-22,0.1208
193592,FAD,2018-03-22,0.0113
193593,FALN,2018-04-02,0.1106
193594,FANH,2018-03-28,0.195
193595,FAT,2018-03-28,0.12
193596,FBIOP,2018-03-14,0.5859
193597,FBNC,2018-03-28,0.1
193598,FBNK,2018-03-08,0.16
193599,FBSS,2018-03-08,0.12
193600,FBZ,2018-03-22,0.1386
193601,FCAL,2018-03-22,0.125
193602,FCAN,2018-03-22,0.0959
193603,FCAP,2018-03-15,0.23
193604,FCBC,2018-03-08,0.48
193605,FCEF,2018-03-13,0.09
193606,FCNCA,2018-03-16,0.35
193607,FCVT,2018-03-22,0.045
193608,FDIV,2018-03-22,0.19
193609,FDT,2018-03-22,0.0579
193610,FDTS,2018-03-22,0.1418
193611,FDUS,2018-03-08,0.39
193612,FEM,2018-03-22,0.0155
193613,FEMB,2018-03-22,0.21
193614,FEMS,2018-03-22,0.1834
193615,FEP,2018-03-22,0.0556
193616,FEUZ,2018-03-22,0.0059
193617,FEX,2018-03-22,0.1221
193618,FFIC,2018-03-08,0.2
193619,FFIN,2018-03-14,0.19
193620,FFNW,2018-03-08,0.07
193621,FGBI,2018-03-19,0.16
193622,FGM,2018-03-22,0.0017
193623,FISI,2018-03-14,0.24
193624,FITB,2018-03-28,0.16
193625,FITBI,2018-03-28,0.4141
193626,FIXD,2018-03-22,0.1155
193627,FKO,2018-03-22,0.0453
193628,FKU,2018-03-22,0.5293
193629,FLAG,2018-03-26,0.1169
193630,FLIC,2018-03-15,0.15
193631,FLN,2018-03-22,0.0235
193632,FLXS,2018-03-15,0.22
193633,FMAO,2018-03-26,0.13
193634,FMB,2018-03-22,0.1125
193635,FMBI,2018-03-22,0.11
193636,FMHI,2018-03-22,0.14
193637,FMK,2018-03-22,0.0927
193638,FMNB,2018-03-08,0.07
193639,FNBG,2018-03-09,0.13
193640,FNGN,2018-03-21,0.08
193641,FNK,2018-03-22,0.0397
193642,FNLC,2018-04-04,0.24
193643,FNX,2018-03-22,0.0225
193644,FORR,2018-03-06,0.2
193645,FOX,2018-03-13,0.18
193646,FOXA,2018-03-13,0.18
193647,FPA,2018-03-22,0.0591
193648,FPXI,2018-03-22,0.01
193649,FSV,2018-03-28,0.135
193650,FTA,2018-03-22,0.209
193651,FTAG,2018-03-22,0.0256
193652,FTC,2018-03-22,0.027
193653,FTCS,2018-03-22,0.135
193654,FTGC,2018-03-22,0.0095
193655,FTHI,2018-03-22,0.08
193656,FTLB,2018-03-22,0.055
193657,FTRI,2018-03-22,0.0604
193658,FTRPR,2018-03-14,2.7813
193659,FTSL,2018-03-22,0.145
193660,FTSM,2018-03-22,0.0925
193661,FTXD,2018-03-22,0.0414
193662,FTXG,2018-03-22,0.0411
193663,FTXH,2018-03-22,0.0776
193664,FTXL,2018-03-22,0.0273
193665,FTXN,2018-03-22,0.1
193666,FTXO,2018-03-22,0.0897
193667,FTXR,2018-03-22,0.1126
193668,FULT,2018-03-29,0.12
193669,FUND,2018-03-14,0.129
193670,FUSB,2018-03-08,0.02
193671,FV,2018-03-22,0.0015
193672,FVC,2018-03-22,0.007
193673,FWRD,2018-03-07,0.15
193674,FYC,2018-03-22,0.0207
193675,FYT,2018-03-22,0.0376
193676,FYX,2018-03-22,0.0867
193677,GAIN,2018-03-19,0.065
193678,GAINM,2018-03-19,0.1302
193679,GAINN,2018-03-19,0.1354
193680,GAINO,2018-03-19,0.1406
193681,GARS,2018-03-22,0.28
193682,GBDC,2018-03-07,0.32
193683,GBLI,2018-03-20,0.25
193684,GBLIL,2018-03-28,0.4922
193685,GECC,2018-03-28,0.083
193686,GENY,2018-04-02,0.035
193687,GFED,2018-04-06,0.12
193688,GILD,2018-03-15,0.57
193689,GLAD,2018-03-19,0.07
193690,GLADN,2018-03-19,0.125
193691,GLDI,2018-03-20,0.0306
193692,GLNG,2018-03-13,0.05
193693,GLPI,2018-03-08,0.63
193694,GNMA,2018-04-02,0.1017
193695,GNTX,2018-04-05,0.11
193696,GNTY,2018-03-27,0.14
193697,GOGL,2018-03-02,0.1
193698,GOLD,2018-03-22,1.98
193699,GOOD,2018-03-19,0.125
193700,GOODM,2018-03-19,0.1458
193701,GOODO,2018-03-19,0.1563
193702,GOODP,2018-03-19,0.1615
193703,GRID,2018-03-22,0.0629
193704,GRMN,2018-03-14,0.51
193705,GROW,2018-03-09,0.0025
193706,GSBC,2018-03-29,0.28
193707,GULF,2018-03-20,0.1663
193708,GWRS,2018-03-14,0.0236
193709,HBAN,2018-03-16,0.11
193710,HBANN,2018-03-28,0.3673
193711,HBANO,2018-03-28,0.3906
193712,HBHC,2018-03-02,0.24
193713,HBNC,2018-04-05,0.15
193714,HCAP,2018-03-19,0.095
193715,HFBC,2018-04-03,0.05
193716,HIFS,2018-04-06,0.34
193717,HIHO,2018-03-27,0.1
193718,HLNE,2018-03-14,0.175
193719,HNDL,2018-03-13,0.1436
193720,HOFT,2018-03-16,0.14
193721,HRZN,2018-03-16,0.1
193722,HSTM,2018-03-05,1.0
193723,HTLD,2018-03-22,0.02
193724,HURC,2018-03-29,0.11
193725,HVBC,2018-03-07,0.5
193726,HWBK,2018-03-14,0.07
193727,HWKN,2018-03-22,0.44
193728,HYLS,2018-03-22,0.22
193729,HYND,2018-03-20,0.085
193730,HYXE,2018-04-02,0.2405
193731,HYZD,2018-03-20,0.095
193732,IBKC,2018-03-28,0.38
193733,IBOC,2018-03-29,0.33
193734,ICBK,2018-03-08,0.07
193735,ICFI,2018-03-28,0.14
193736,IDLB,2018-03-19,0.0257
193737,IEF,2018-04-02,0.175
193738,IEI,2018-04-02,0.1779
193739,IEP,2018-03-09,1.75
193740,IFEU,2018-03-22,0.2415
193741,IFGL,2018-03-22,0.2026
193742,IIIN,2018-03-15,0.03
193743,IJT,2018-03-22,0.3323
193744,ILG,2018-03-15,0.175
193745,INBK,2018-03-28,0.06
193746,INDB,2018-03-23,0.38
193747,IPAR,2018-03-28,0.21
193748,STX,2018-03-20,0.63
193749,IPCC,2018-03-15,0.58
193750,CI,2018-03-09,0.04
193751,COT,2018-03-12,0.06
193752,DHR,2018-03-28,0.16
193753,FAM,2018-04-02,0.075
193754,FT,2018-03-28,0.032
193755,FTAI,2018-03-15,0.33
193756,FTI,2018-03-19,0.13
193757,MHI,2018-03-13,0.0525
193758,RNR,2018-03-14,0.33
193759,XL,2018-03-14,0.22
193760,A,2018-04-02,0.149
193761,AAN,2018-03-22,0.03
193762,AAP,2018-03-22,0.06
193763,AAT,2018-03-14,0.27
193764,ABB,2018-04-04,0.8261
193765,ABM,2018-04-04,0.175
193766,ABR,2018-03-07,0.21
193767,ACP,2018-03-16,0.12
193768,ACRE,2018-03-28,0.28
193769,ACU,2018-03-29,0.11
193770,AE,2018-03-08,0.22
193771,BCV,2018-03-14,0.25
193772,BDL,2018-03-15,0.25
193773,BFY,2018-03-14,0.049
193774,BHV,2018-03-14,0.063
193775,BLE,2018-03-14,0.065
193776,BLJ,2018-03-14,0.0615
193777,BRG,2018-03-22,0.1625
193778,BZM,2018-03-14,0.0474
193779,CCA,2018-03-13,0.041
193780,CEV,2018-03-09,0.0371
193781,CIK,2018-03-08,0.022
193782,CIX,2018-03-09,0.05
193783,CKX,2018-04-04,0.12
193784,CLM,2018-03-14,0.2365
193785,CMT,2018-03-16,0.05
193786,COHN,2018-03-19,0.2
193787,CRF,2018-03-14,0.2301
193788,CVR,2018-03-02,0.51
193789,DHY,2018-03-15,0.02
193790,DMF,2018-03-13,0.035
193791,EAD,2018-03-13,0.052
193792,EIA,2018-03-21,0.0442
193793,EIM,2018-03-21,0.0479
193794,EIO,2018-03-21,0.0469
193795,EIP,2018-03-21,0.0486
193796,EIV,2018-03-21,0.048
193797,EMI,2018-03-09,0.0391
193798,EMJ,2018-03-21,0.0491
193799,ENX,2018-03-21,0.0448
193800,EPM,2018-03-14,0.1
193801,ERC,2018-03-13,0.108
193802,ERH,2018-03-13,0.075
193803,ESP,2018-03-16,0.25
193804,EVBN,2018-03-12,0.46
193805,EVJ,2018-03-09,0.0457
193806,EVM,2018-03-21,0.0395
193807,EVO,2018-03-09,0.0451
193808,EVP,2018-03-09,0.0421
193809,EVV,2018-03-09,0.0806
193810,EVY,2018-03-09,0.05
193811,FAX,2018-03-16,0.035
193812,FCO,2018-03-16,0.07
193813,FTF,2018-03-28,0.1011
193814,GGN,2018-03-14,0.05
193815,GGO,2018-03-14,0.2
193816,GLO,2018-03-16,0.1013
193817,GLQ,2018-03-16,0.1226
193818,GLU,2018-03-14,0.1
193819,GLV,2018-03-16,0.1172
193820,GORO,2018-03-09,0.0017
193821,GSB,2018-03-08,0.015
193822,HMG,2018-03-20,2.5
193823,HNW,2018-03-13,0.095
193824,IAF,2018-03-16,0.16
193825,LTS,2018-03-14,0.01
193826,LTSL,2018-03-14,0.4063
193827,MAB,2018-03-21,0.0434
193828,MHE,2018-03-14,0.044
193829,MIW,2018-03-21,0.0475
193830,MMV,2018-03-09,0.0388
193831,MVF,2018-03-14,0.041
193832,MZA,2018-03-14,0.052
193833,NBH,2018-03-28,0.0675
193834,NBO,2018-03-28,0.0437
193835,NBW,2018-03-28,0.0512
193836,NEN,2018-03-14,0.3
193837,NHC,2018-03-28,0.48
193838,NHS,2018-03-14,0.0725
193839,NML,2018-03-14,0.055
193840,NRO,2018-03-14,0.045
193841,NTIP,2018-03-08,0.05
193842,NYH,2018-03-21,0.0439
193843,ORM,2018-03-28,0.16
193844,PLYM,2018-03-28,0.375
193845,RIF,2018-03-16,0.33
193846,RWC,2018-03-29,0.02
193847,SEB,2018-03-02,1.5
193848,SGA,2018-03-09,0.3
193849,SGB,2018-03-09,0.11
193850,UTG,2018-03-19,0.16
193851,VCF,2018-03-15,0.055
193852,VFL,2018-03-15,0.05
193853,VKI,2018-03-14,0.0517
193854,VMM,2018-03-15,0.0375
193855,ACV,2018-03-09,0.167
193856,ADC,2018-03-28,0.52
193857,ADT,2018-03-23,0.035
193858,AEB,2018-03-14,0.25
193859,AEE,2018-03-13,0.4575
193860,AFB,2018-04-05,0.0458
193861,AFC,2018-03-28,0.43
193862,AFGE,2018-03-14,0.391
193863,AFT,2018-03-15,0.096
193864,AGC,2018-03-14,0.047
193865,AGD,2018-03-21,0.065
193866,AGM,2018-03-16,0.58
193867,AGO,2018-03-06,0.16
193868,AGR,2018-03-08,0.432
193869,AHH,2018-03-27,0.2
193870,AHP,2018-03-28,0.16
193871,AHT,2018-03-28,0.12
193872,AI,2018-03-28,0.55
193873,AIF,2018-03-15,0.1
193874,AIG,2018-03-14,0.32
193875,AIN,2018-03-16,0.17
193876,AIY,2018-03-29,0.43
193877,AJX,2018-03-14,0.3
193878,AKP,2018-04-05,0.0421
193879,AKR,2018-03-28,0.27
193880,AL,2018-03-19,0.1
193881,ALB,2018-03-14,0.335
193882,ALL,2018-03-02,0.46
193883,ALLE,2018-03-14,0.21
193884,AMC,2018-03-09,0.2
193885,AME,2018-03-15,0.14
193886,AMH,2018-03-14,0.05
193887,ANF,2018-03-08,0.2
193888,ANH,2018-03-28,0.15
193889,ANTM,2018-03-08,0.75
193890,ANW,2018-03-20,0.01
193891,AOD,2018-03-21,0.0575
193892,APC,2018-03-13,0.25
193893,APD,2018-03-29,1.1
193894,APH,2018-03-16,0.19
193895,APLE,2018-04-02,0.1
193896,APTS,2018-03-14,0.25
193897,AQN,2018-03-28,0.1165
193898,ARCH,2018-03-02,0.4
193899,ARCO,2018-03-29,0.05
193900,ARDC,2018-03-21,0.1075
193901,ARE,2018-03-28,0.9
193902,ARI,2018-03-28,0.46
193903,ARR,2018-03-14,0.19
193904,AU,2018-03-22,0.0596
193905,AUY,2018-03-28,0.005
193906,AVAL,2018-04-06,0.0288
193907,AVB,2018-03-28,1.47
193908,AVD,2018-03-28,0.02
193909,AVK,2018-03-14,0.1172
193910,AVT,2018-03-12,0.19
193911,AVY,2018-03-06,0.45
193912,AWF,2018-04-05,0.0699
193913,AWP,2018-03-21,0.05
193914,AXP,2018-04-05,0.35
193915,AXS,2018-03-28,0.39
193916,BAF,2018-03-14,0.0685
193917,BANC,2018-03-14,0.13
193918,BBD,2018-04-03,0.006
193919,BBD,2018-03-02,0.0059
193920,BBDO,2018-04-03,0.005
193921,BBDO,2018-03-02,0.0054
193922,BBF,2018-03-14,0.0665
193923,BBK,2018-03-14,0.0635
193924,BBL,2018-03-08,1.1
193925,BBN,2018-03-14,0.1318
193926,BBT,2018-03-05,0.045
193927,BBVA,2018-04-06,0.1866
193928,BBX,2018-03-23,0.01
193929,BBY,2018-03-21,0.45
193930,BCE,2018-03-14,0.755
193931,BCH,2018-03-28,3.1177
193932,BCRH,2018-03-28,0.3
193933,BCX,2018-03-14,0.0516
193934,BDC,2018-03-14,0.05
193935,BDJ,2018-03-14,0.0467
193936,BDN,2018-04-03,0.18
193937,BDX,2018-03-08,0.75
193938,BEN,2018-03-28,3.23
193939,BFK,2018-03-14,0.0585
193940,BFO,2018-03-14,0.026
193941,BFZ,2018-03-14,0.055
193942,BGB,2018-03-21,0.105
193943,BGC,2018-03-08,0.18
193944,BGG,2018-03-15,0.14
193945,BGH,2018-03-20,0.1482
193946,BGIO,2018-03-14,0.05
193947,BGR,2018-03-14,0.0776
193948,BGS,2018-03-28,0.465
193949,BGT,2018-03-14,0.0583
193950,BGX,2018-03-21,0.103
193951,BGY,2018-03-14,0.038
193952,BHE,2018-03-28,0.15
193953,BHK,2018-03-14,0.065
193954,BHP,2018-03-08,1.1
193955,BIF,2018-03-21,0.034
193956,BIG,2018-03-22,0.3
193957,BIT,2018-03-14,0.1167
193958,BJZ,2018-03-14,0.0025
193959,BKK,2018-03-14,0.0395
193960,BKN,2018-03-14,0.057
193961,BKS,2018-04-05,0.15
193962,BKT,2018-03-14,0.0265
193963,BLH,2018-03-14,0.0025
193964,BLK,2018-03-06,2.88
193965,BLW,2018-03-14,0.0795
193966,BME,2018-03-14,0.2
193967,BMY,2018-04-05,0.4
193968,BNJ,2018-03-14,0.0635
193969,BNS,2018-04-02,0.636
193970,BNY,2018-03-14,0.0505
193971,BOE,2018-03-14,0.078
193972,BPK,2018-03-14,0.005
193973,BQH,2018-03-14,0.046
193974,BR,2018-03-14,0.365
193975,BRC,2018-04-06,0.2075
193976,BRT,2018-03-26,0.2
193977,BRX,2018-04-04,0.275
193978,BSD,2018-03-14,0.057
193979,BSE,2018-03-14,0.0465
193980,BSL,2018-03-21,0.097
193981,BST,2018-03-14,0.13
193982,BTA,2018-03-14,0.0545
193983,BTI,2018-03-22,0.6792
193984,BTO,2018-03-09,0.3701
193985,BTT,2018-03-14,0.0718
193986,BTZ,2018-03-14,0.067
193987,BUI,2018-03-14,0.121
193988,BWG,2018-03-22,0.0765
193989,BWXT,2018-03-09,0.16
193990,BXMT,2018-03-28,0.62
193991,BXMX,2018-03-14,0.245
193992,BXP,2018-03-28,0.8
193993,BXS,2018-03-14,0.14
193994,BYD,2018-03-15,0.05
193995,BYM,2018-03-14,0.052
193996,CAE,2018-03-14,0.09
193997,CAH,2018-03-29,0.4624
193998,CAL,2018-03-16,0.07
193999,CATO,2018-03-09,0.33
194000,CB,2018-03-28,0.71
194001,CBD,2018-04-05,0.106
194002,CBH,2018-03-09,0.046
194003,CBL,2018-03-28,0.2
194004,CBS,2018-03-08,0.18
194005,CBU,2018-03-14,0.34
